number,title,assignees,labels,state,payment status
1440,Check if change box is above 4KB ,pragmaxim,B-500 SigUSD,closed,paid
1407,Show warning on or disable wallet import if pruning is enabled,pragmaxim,B-500 SigUSD,closed,paid
1401,Determining whether the node is still syncing and calculating sync progress,,B-500 SigUSD,closed,
1392,Sign a custom message [Feature request],,B-1000 SigUSD,open,
1387,proofsForTransactions in UtxoStateReader can modify the underlying tree,knizhnik,B-2000 SigUSD,open,
1384,Add proof that interlink vector corresponds to its header,ApexTheory,B-1000 SigUSD,open,
1366,Bootstrapping via UTXO set snapshot,,B-5000 SigUSD,closed,
1365,NiPoPoW powered bootstrapping ,,B-5000 SigUSD,open,
1363,Inrementally rebuild block candidate for the same height,pragmaxim,B-1000 SigUSD,open,
1322,"Add ""Burn Tokens"" functionality to the API and panel",ccellado,B-1000 SigUSD,closed,paid
1318,Unsupported HTTP method: HTTP method too long,,B-100 SigUSD,open,
1283,Token issuance incorrectly uses token id of an earlier issued token,,B-100 SigUSD,closed,
1256,Wallet rescan from a given height rather than from beginning,,B-500 SigUSD,closed,
1228,Eliminate offchainRegistry,pragmaxim,B-500 SigUSD,open,
1194,Release binaries for Windows and MacOS,ccellado,B-2000 SigUSD,closed,paid
1173,Unify recursive deletion of folder ,,B-200 SigUSD,closed,
1159,Light node with pruning can't catch after long shutdown ,kushti,B-500 SigUSD,open,
1156,Take into account dataInputs during mempool updateFamily,,B-200 Erg,open,
1154,Unconfirmed wallet transactions during node restart,,B-1000 SigUSD,open,
1133,"Add tokens access cost during signing, make signer/verifier cost equality test",pragmaxim,B-500 SigUSD,closed,paid
1125,FullBlockProcessor.isLinkable needed?,,B-200 Erg,open,
1121,Make a test for ErgoWalletActor.generateTransactionWithOutputs,,B-500 SigUSD,closed,
1120,Handle DB issues explicitly ,pragmaxim,B-500 SigUSD,closed,paid
1114,Improve ExpirationSpecification,,B-50 Erg,closed,
1083,"""should not freeze while mempool is full"" test is not stable",,B-100 Erg,closed,
1082,Make test for nextPath() in DerivationPath,,B-100 Erg,closed,
1080,Cover TransactionBuilder with tests,,B-100 Erg,closed,
1056,CLI --help option ,,B-100 Erg,closed,paid
1051,Make explicit representation of transactional graph in the memory pool,,B-200 Erg,open,
1050,Implement get transaction by id and get unspent boxes by address,jellymlg,B-500 Erg,closed,paid
1031,Sometimes UtxoStateSpecification tests failing with improper interlinks provided,knizhnik,B-150 Erg,closed,paid
1029,Separate Box selection algorithms from ErgoBox and TrackedBox,,B-150 Erg,closed,paid
1026,Check how node is working under Vagrant,,B-100 Erg,closed,paid
1023,"Fix unstable ""concurrent applyModifier() and proofsForTransactions()"" test",,B-500 SigUSD,open,
1018,Use SecretString for passwords and other secrets instead of String,ccellado,B-200 SigUSD,closed,paid
1005,Wrap primitive types in communication between API and the core,,B-100 Erg,open,
1002,Actual type of BlockHeader model difficulty field in the api,,B-50 Erg,closed,paid
983,Support backward scanning of transactions by the wallet,,B-500 Erg,closed,paid
972,Check the node on Raspberry Pi or similar constrained device,,B-100 Erg,closed,paid
970,Check how to run the node behind Tor and write a manual on that ,,B-100 Erg,open,
962,Save version of the node in the Block Extensions section,,B-200 Erg,open,
940,[API] Specify secrets while creating transaction,,B-200 Erg,closed,paid
938,[API] Specify context variables in creating transaction,,B-200 Erg,open,
894,Node can not restore after long network degradation (restart helps),kushti,B-100 Erg,closed,paid
885,API method to get a box along with a membership proof from UTXO,,B-100 Erg,closed,paid
879,Implement /wallet/boxes/uncertain to get uncertain boxes,kushti,B-50 Erg,closed,paid
878,Wallet API and Exchange Integration Documentation,,B-200 Erg,open,
872,Inefficient difficulty check,knizhnik,B-500 SigUSD,closed,paid
856,Make replace-compact-collect box selector configurable,kushti,B-100 Erg,closed,paid
845,Make Builds Reproducible,knizhnik,B-50 Erg,closed,paid
